,timestamp,ROC_TK_1300A,ROC_TK_1300C,MOC_TK_1310A,MOC_TK_1310B,MOC_TK_1310C,MTT_TK_301A,MTT_TK_301B
55,2022-10-26 00:00:00+00:00,473.082977,113.247711,1428.09155,348.206055,278.700165,722.9482,3190.112
56,2022-10-27 00:00:00+00:00,472.1044,112.048706,1665.43237,348.440826,278.0719,722.2188,3203.44727
57,2022-10-28 00:00:00+00:00,472.104645,112.39444,1512.91272,349.6174,277.5633,722.997742,3201.8
58,2022-10-29 00:00:00+00:00,471.721527,112.208893,1697.16577,350.393433,277.9807,721.7136,3199.74316
59,2022-10-30 00:00:00+00:00,472.069763,113.909683,1810.616,353.626038,278.466034,722.8708,3186.28125
60,2022-10-31 00:00:00+00:00,472.592133,114.414444,1972.09961,355.7248,277.700958,723.9061,3186.04932
61,2022-11-01 00:00:00+00:00,472.4173,113.943123,2155.19287,356.647247,277.832458,725.51,3186.46
62,2022-11-02 00:00:00+00:00,571.8628,19.7300549,2223.73853,358.425781,277.763733,725.1902,3186.00757
63,2022-11-03 00:00:00+00:00,591.213562,6.641,2254.86279,361.330383,278.204,725.075745,3184.99731
64,2022-11-04 00:00:00+00:00,591.6795,6.641,2528.8938,364.3982,278.842773,725.4197,3183.95459
65,2022-11-05 00:00:00+00:00,591.8287,6.641,2599.07861,367.535767,278.261475,726.35376,3183.32935
66,2022-11-06 00:00:00+00:00,591.433,6.641,2596.21118,368.576721,277.940765,725.3298,3182.44922
67,2022-11-07 00:00:00+00:00,591.179138,814.4112,2393.18335,370.738037,277.991577,725.4584,3182.02466
68,2022-11-08 00:00:00+00:00,590.73114,2188.28979,1810.69568,373.329071,278.999573,727.3647,3182.7356
69,2022-11-09 00:00:00+00:00,586.912659,2149.415,1703.07361,375.190857,279.119446,728.4136,3183.825
70,2022-11-10 00:00:00+00:00,588.030151,610.0035,2038.23755,375.6671,278.7843,727.4229,3183.61743
71,2022-11-11 00:00:00+00:00,588.742,9.552,2514.427,377.490082,278.641846,729.693848,3184.701
72,2022-11-12 00:00:00+00:00,588.6224,9.552,2380.58057,558.002258,278.69873,733.072266,3186.57324
73,2022-11-13 00:00:00+00:00,588.115234,9.552,1641.89807,564.5543,278.118744,734.777039,3203.836
74,2022-11-14 00:00:00+00:00,587.7595,9.552,1330.62939,569.8294,277.777039,731.409851,3198.20557
75,2022-11-15 00:00:00+00:00,587.58136,9.552,1289.2821,574.1054,278.4487,729.9459,3185.8208
76,2022-11-16 00:00:00+00:00,587.701,89.2203445,1396.361,577.411255,277.835876,730.9028,3185.05762
77,2022-11-17 00:00:00+00:00,587.3429,350.35,1309.41089,579.109436,277.835876,732.519836,3185.21826
78,2022-11-18 00:00:00+00:00,586.3498,952.089,1118.24463,581.5381,278.350952,733.747131,3185.3606
79,2022-11-19 00:00:00+00:00,585.12384,1656.06,859.6015,582.9033,278.690063,734.478333,3185.74561
