,timestamp,ROC_C3,MOC_C3_ORU,MOC_C3_OCU,MOC_C3_SC,MOC_C3,Input_Total,TPE_BTF_Transfer,TPE_PTT_Supply,TPE_Total_Site1,TPE_PP3,TPE_Total,HMC_A,HMC_B,HMC_Total,Total_Dow(Dummy),Output_Total,Balance
0,2022-09-01 00:00:00,45.299172709886676,61.3886209041984,0.0,3.6555248096585276,65.04414571385692,110.3433184237436,10.582932833929856,10.574469043811161,21.157401877741016,49.7570069287245,70.91440880646552,11.780659804370462,0.0,11.780659804370462,49.7570069287245,132.45207553956047,-22.10875711581687
1,2022-09-02 00:00:00,44.33486574958099,65.26564777863247,0.0,3.393659953773022,68.6593077324055,112.99417348198648,10.525397712108163,10.545610179669326,21.07100789177749,57.01753897176702,78.08854686354451,21.443199817817245,0.0,21.443199817817245,57.01753897176702,156.54928565312878,-43.5551121711423
2,2022-09-03 00:00:00,45.55289190346039,64.96557245927828,0.0,3.3941635951399802,68.35973605441826,113.91262795787866,10.371546253760656,10.378670600056648,20.750216853817303,66.52407234618546,87.27428920000277,31.577571911246412,0.0,31.577571911246412,66.52407234618546,185.37593345743466,-71.463305499556
3,2022-09-04 00:00:00,45.51104777881191,64.93139055611911,0.0,3.4916727816065154,68.42306333772562,113.93411111653754,12.875545140140586,12.902895659373867,25.778440799514453,64.53580612910382,90.31424692861827,34.65774395239022,0.0,34.65774395239022,64.53580612910382,189.5077970101123,-75.57368589357478
4,2022-09-05 00:00:00,45.7273248236424,64.88776564242663,0.0,3.3852927297353745,68.273058372162,114.0003831958044,17.11891200847096,17.120710753997166,34.23962276246813,66.21063719503672,100.45025995750485,2.9582431173874966,0.0,2.9582431173874966,66.21063719503672,169.61914026992906,-55.61875707412466
5,2022-09-06 00:00:00,47.98037515981219,65.08998652636649,0.0,3.249708286424478,68.33969481279097,116.32006997260316,17.07495854689015,17.056168711450365,34.13112725834051,66.18351891001066,100.31464616835117,5.248770669371987,0.0,5.248770669371987,66.18351891001066,171.74693574773383,-55.426865775130665
6,2022-09-07 00:00:00,45.3324995820331,64.58220365948503,7.385317863555235,3.305131493260463,75.27265301630072,120.60515259833383,22.101585691571234,22.043201567861768,44.144787259433,10.346925333279744,54.491712592712744,15.302393856978252,0.0,15.302393856978252,10.346925333279744,80.14103178297074,40.46412081536309
7,2022-09-08 00:00:00,44.642220357335596,63.63052525504791,34.73026672054882,3.269386641929547,101.63017861752627,146.27239897486186,22.299335669212873,22.229868353737725,44.529204022950594,0.018914284803266464,44.54811830775386,33.5835968116439,0.0,33.5835968116439,0.018914284803266464,78.15062940420103,68.12176957066083
8,2022-09-09 00:00:00,44.543664415794254,64.27778572098053,44.724488462608534,3.285996023317178,112.28827020690625,156.8319346227005,22.02506120728122,21.97223549809721,43.99729670537843,0.005020003476076656,44.00231670885451,29.02796285453356,0.0,29.02796285453356,0.005020003476076656,73.03529956686414,83.79663505583635
9,2022-09-10 00:00:00,44.52915285031608,66.19316594029502,45.46305522194689,3.207927267762679,114.86414843000459,159.39330128032066,22.036540097196898,21.97613911986351,44.01267921706041,0.0,44.01267921706041,30.374108836140895,0.0,30.374108836140895,0.0,74.3867880532013,85.00651322711936
10,2022-09-11 00:00:00,45.74687357651488,65.89590395394457,45.68376490633503,3.27230912471811,114.8519779849977,160.5988515615126,22.262036568257543,22.187982012165918,44.45001858042346,0.004715443379461282,44.45473402380292,29.392206513504192,0.0,29.392206513504192,0.004715443379461282,73.85165598068657,86.74719558082602
11,2022-09-12 00:00:00,46.18639631946624,64.7172566409579,45.14550786962038,5.886955725153287,115.74972023573156,161.9361165551978,16.23639330304331,16.26244188040495,32.498835183448264,0.13045942401685925,32.62929460746513,23.815343859553337,0.0,23.815343859553337,0.13045942401685925,56.57509789103533,105.36101866416247
12,2022-09-13 00:00:00,44.25484983565852,65.16107388225315,43.182026508268756,8.0227474908034,116.3658478813253,160.6206977169838,13.433651515311665,13.430871461961004,26.86452297727267,2.605915441516511,29.470438418789183,20.792542575135826,0.0,20.792542575135826,2.605915441516511,52.86889643544152,107.7518012815423
13,2022-09-14 00:00:00,43.27693614736439,65.72829722037373,42.34385337647979,8.278687737385432,116.35083833423897,159.62777448160335,13.660965800086657,13.674678670234151,27.33564447032081,0.0003405137582578593,27.335984984079065,19.379857910824594,0.0,19.379857910824594,0.0003405137582578593,46.71618340866192,112.91159107294143
14,2022-09-15 00:00:00,26.780907384846135,69.30593062928429,34.82800507280071,5.858158827324709,109.99209452940971,136.77300191425584,13.825140568249756,13.7870494087206,27.612189976970356,1.779254743055337,29.391444720025692,18.772025842263467,0.0,18.772025842263467,1.779254743055337,49.942725305344496,86.83027660891135
15,2022-09-16 00:00:00,26.783599853515625,69.83751999080646,31.79130836706373,6.086038247247537,107.71486660511773,134.49846645863335,13.523070439464517,13.518722399903668,27.041792839368185,0.6682575299697526,27.71005036933794,20.052788138835794,0.0,20.052788138835794,0.6682575299697526,48.43109603814349,86.06737042048985
16,2022-09-17 00:00:00,26.783599853515625,68.91621424195479,33.0850826399507,6.491336659093698,108.4926335409992,135.2762333945148,14.02876320498961,14.016920301527888,28.0456835065175,29.580925883793675,57.626609390311174,18.143875561745077,0.0,18.143875561745077,29.580925883793675,105.35141083584993,29.92482255866487
